Datetime,Close,High,Low,Open,Volume
2025-12-01 14:30:00+00:00,25194.431640625,25269.20703125,25161.08203125,25229.982421875,47310586
2025-12-01 14:45:00+00:00,25309.33203125,25323.484375,25191.322265625,25191.322265625,55917190
2025-12-01 15:00:00+00:00,25303.037109375,25336.603515625,25287.572265625,25316.935546875,45212192
2025-12-01 15:15:00+00:00,25276.33984375,25320.72265625,25265.572265625,25302.474609375,37209089
2025-12-01 15:30:00+00:00,25284.82421875,25307.662109375,25222.0078125,25272.0546875,41770334
2025-12-01 15:45:00+00:00,25361.39453125,25366.083984375,25273.1171875,25293.666015625,35168054
2025-12-01 16:00:00+00:00,25302.220703125,25363.857421875,25296.546875,25362.392578125,27982977
2025-12-01 16:15:00+00:00,25330.7421875,25338.421875,25276.6171875,25298.2734375,26089388
2025-12-01 16:30:00+00:00,25374.578125,25383.416015625,25332.94921875,25334.9375,24264999
2025-12-01 16:45:00+00:00,25382.779296875,25396.50390625,25372.302734375,25375.876953125,24419389
2025-12-01 17:00:00+00:00,25391.451171875,25413.509765625,25383.193359375,25384.841796875,23444292
2025-12-01 17:15:00+00:00,25399.951171875,25406.00390625,25367.337890625,25391.126953125,19373668
2025-12-01 17:30:00+00:00,25428.515625,25428.515625,25393.66015625,25401.29296875,19722868
2025-12-01 17:45:00+00:00,25397.802734375,25443.205078125,25397.802734375,25428.55078125,24920704
2025-12-01 18:00:00+00:00,25425.169921875,25430.939453125,25396.298828125,25396.298828125,20872418
2025-12-01 18:15:00+00:00,25410.474609375,25426.951171875,25403.27734375,25424.5390625,21466989
2025-12-01 18:30:00+00:00,25419.265625,25423.189453125,25410.833984375,25411.521484375,21150884
2025-12-01 18:45:00+00:00,25434.78125,25437.994140625,25413.916015625,25418.9140625,18624527
2025-12-01 19:00:00+00:00,25398.07421875,25434.9765625,25382.20703125,25433.76953125,23323910
2025-12-01 19:15:00+00:00,25342.201171875,25397.541015625,25340.400390625,25397.541015625,22615182
2025-12-01 19:30:00+00:00,25330.388671875,25362.109375,25307.705078125,25341.47265625,26943326
2025-12-01 19:45:00+00:00,25321.896484375,25342.1015625,25319.306640625,25332.353515625,19466601
2025-12-01 20:00:00+00:00,25358.955078125,25361.53125,25317.662109375,25319.091796875,25185026
