Datetime,Close,High,Low,Open,Volume
2025-12-01 08:00:00+00:00,9704.9697265625,9720.5498046875,9686.9296875,9720.5498046875,0
2025-12-01 08:15:00+00:00,9712.0400390625,9715.98046875,9705.26953125,9705.2802734375,0
2025-12-01 08:30:00+00:00,9722.990234375,9722.990234375,9707.5,9712.0,0
2025-12-01 08:45:00+00:00,9712.6298828125,9724.099609375,9710.73046875,9722.9404296875,0
2025-12-01 09:00:00+00:00,9721.150390625,9722.169921875,9711.66015625,9712.650390625,0
2025-12-01 09:15:00+00:00,9718.8603515625,9721.0703125,9709.41015625,9721.0302734375,0
2025-12-01 09:30:00+00:00,9714.4501953125,9718.9296875,9712.009765625,9718.8798828125,0
2025-12-01 09:45:00+00:00,9705.419921875,9714.6904296875,9703.2197265625,9714.3896484375,0
2025-12-01 10:00:00+00:00,9726.650390625,9726.650390625,9704.2802734375,9705.4404296875,0
2025-12-01 10:15:00+00:00,9725.099609375,9727.9296875,9721.1396484375,9726.83984375,0
2025-12-01 10:30:00+00:00,9722.1904296875,9725.1103515625,9719.48046875,9725.1103515625,0
2025-12-01 10:45:00+00:00,9713.01953125,9723.830078125,9711.7099609375,9722.2001953125,0
2025-12-01 11:00:00+00:00,9710.6904296875,9713.08984375,9706.8701171875,9712.83984375,0
2025-12-01 11:15:00+00:00,9717.330078125,9717.5400390625,9709.900390625,9710.6904296875,0
2025-12-01 11:30:00+00:00,9711.2998046875,9722.669921875,9711.01953125,9717.3603515625,0
2025-12-01 11:45:00+00:00,9717.76953125,9718.26953125,9710.0595703125,9711.2900390625,0
2025-12-01 12:00:00+00:00,9718.6201171875,9727.6396484375,9716.0595703125,9717.6904296875,0
2025-12-01 12:15:00+00:00,9709.8095703125,9718.6904296875,9709.349609375,9718.6796875,0
2025-12-01 12:30:00+00:00,9703.76953125,9710.23046875,9703.0703125,9709.76953125,0
2025-12-01 12:45:00+00:00,9700.4296875,9704.5595703125,9698.8896484375,9703.76953125,0
2025-12-01 13:00:00+00:00,9705.2900390625,9705.2900390625,9696.48046875,9700.4599609375,0
2025-12-01 13:15:00+00:00,9702.7001953125,9707.6201171875,9702.4501953125,9705.3701171875,0
2025-12-01 13:30:00+00:00,9710.759765625,9710.8701171875,9702.740234375,9702.740234375,0
2025-12-01 13:45:00+00:00,9715.400390625,9715.7802734375,9708.7900390625,9710.76953125,0
2025-12-01 14:00:00+00:00,9721.1904296875,9721.2802734375,9714.6796875,9715.3701171875,0
2025-12-01 14:15:00+00:00,9715.91015625,9721.5,9711.1298828125,9721.2001953125,0
2025-12-01 14:30:00+00:00,9723.6396484375,9726.0,9715.2099609375,9716.1396484375,0
2025-12-01 14:45:00+00:00,9730.73046875,9735.349609375,9723.23046875,9724.4599609375,0
2025-12-01 15:00:00+00:00,9721.169921875,9730.849609375,9716.509765625,9730.75,0
2025-12-01 15:15:00+00:00,9712.66015625,9722.2099609375,9711.669921875,9721.26953125,0
2025-12-01 15:30:00+00:00,9704.3095703125,9713.7197265625,9703.0703125,9712.51953125,0
2025-12-01 15:45:00+00:00,9705.0302734375,9707.5,9701.16015625,9704.41015625,0
2025-12-01 16:00:00+00:00,9707.349609375,9708.599609375,9699.8095703125,9705.2099609375,0
2025-12-01 16:15:00+00:00,9707.669921875,9709.6298828125,9704.2900390625,9707.2802734375,0
2025-12-02 08:00:00+00:00,9706.1396484375,9707.4697265625,9694.1796875,9702.7802734375,0
2025-12-02 08:15:00+00:00,9711.75,9713.259765625,9705.08984375,9706.75,0
2025-12-02 08:30:00+00:00,9714.25,9720.3896484375,9708.400390625,9711.990234375,0
2025-12-02 08:45:00+00:00,9719.1396484375,9719.349609375,9710.0498046875,9714.25,0
2025-12-02 09:00:00+00:00,9711.76953125,9720.150390625,9710.2001953125,9718.76953125,0
2025-12-02 09:15:00+00:00,9714.01953125,9716.0,9709.3203125,9711.76953125,0
